year,Tokyo (Urban),Choshi (Rural),Tmax_Tokyo,Tmax_Choshi,Tmin_Tokyo,Tmin_Choshi
1957,14.88333,15.31667,25.59167,23.44167,5.866667,6.866667
1958,15.18333,15.11667,26.59167,23.76667,5.591667,6.741667
1959,15.65833,15.71667,26.925,23.98333,7.141667,7.866667
1960,15.4,15.43333,26.575,23.525,5.975,6.808333
1961,15.94167,15.80833,26.4,23.28333,7.066667,8.3
1962,15.39167,15.14167,26.30833,24.125,6.375,7.091667
1963,14.99167,14.25833,26.2,22.69167,5.758333,6.5
1964,15.25,15.18333,25.40833,22.84167,6.95,7.9
1965,14.63333,14.35,24.85833,22.51667,6.558333,6.5
1966,15.49167,15.25,25.825,24.05,6.775,6.35
1967,15.74167,15.34167,26.01667,23.775,7.341667,7.4
1968,15.61667,15.29167,24.70833,23.01667,8.125,7.708333
1969,15.63333,15.1,27.16667,23.98333,6.8,6.633333
1970,15.2,14.63333,25.775,22.76667,6.641667,6.191667
1971,15.03333,14.84167,24.925,22.45833,7.333333,7.066667
1972,15.71667,15.48333,25.31667,23.31667,7.566667,7.491667
1973,15.65833,14.85833,25.80833,23.14167,8.05,7.408333
1974,15.19167,14.31667,24.9,21.50833,7.508333,7.325
1975,15.58333,14.73333,25.54167,22.94167,7.691667,7.675
1976,15.03333,14.60833,25.31667,22.56667,6.108333,6.758333
1977,15.81667,15.50833,26.76667,23.60833,7.308333,8.258333
1978,16.06667,15.64167,25.29167,23.575,8.375,8.291667
1979,16.875,16.73333,26.86667,24.99167,9.241667,9.233333
1980,15.375,15.15833,25.45,23.14167,7.6,7.766667
1981,15.01667,13.90833,24.85,22.16667,7.108333,6.408333
1982,15.96667,15.05,25.125,22.86667,8.341667,7.3
1983,15.70833,14.48333,25.325,22.84167,7.541667,7.041667
1984,14.925,13.65,25.775,22.425,7.116667,5.983333
1985,15.65,14.95,25.35833,22.46667,8.008333,7.733333
1986,15.15,14.35833,24.53333,22.375,7.691667,7.258333
1987,16.25833,15.275,27.475,24.46667,8.1,7.741667
1988,15.44167,14.98333,25.55833,23.225,8.016667,7.883333
1989,16.375,15.875,25.24167,23.23333,9.016667,8.433333
1990,17.01667,16.35,27.13333,24.50833,9.525,8.8
1991,16.375,15.80833,25.825,23.78333,8.741667,8.341667
1992,15.99167,15.36667,25.94167,23.41667,7.966667,7.608333
1993,15.50833,14.825,25.85833,23.35833,7.916667,7.733333
1994,16.875,16.125,26.16667,23.65,8.933333,9.291667
1995,16.3,15.375,25.61667,23.33333,9.041667,8.4
1996,15.80833,14.76667,27.53333,23.93333,8.008333,7.325
1997,16.675,16,26.8,24.275,8.783333,8.225
1998,16.71667,15.95833,27.58333,24.51667,8.491667,8.833333
1999,17.03333,16.59167,26.75,24.50833,9.066667,9.408333
2000,16.85833,15.83333,26.20833,23.90833,9.541667,8.558333
2001,16.49167,15.63333,26.475,23.94167,8.116667,8.225
2002,16.70833,15.71667,26.60833,23.93333,9.341667,8.741667
2003,16.00833,14.86667,25.81667,23.25,8.65,7.85
2004,17.34167,15.675,28.03333,25.325,8.716667,7.925
2005,16.21667,14.94167,27.075,23.75833,8.658333,8.233333
2006,16.39167,15.71667,26.28333,23.86667,9.05,8.791667
2007,16.96667,16.23333,25.775,23.8,9.55,9.15
2008,16.425,15.65,25.39167,23.58333,8.75,8.308333
2009,16.69167,15.76667,26.58333,23.875,9.233333,8.791667
2010,16.88333,16.18333,27.71667,24.8,8.516667,8.275
2011,16.48333,15.75833,26.45,24.35833,8.4,8.583333
2012,16.3,15.66667,25.425,23.71667,8.9,8.166667
2013,17.08333,16.01667,26.875,24.45833,8.933333,8.166667
2014,16.58333,15.89167,26.425,24.30833,9.083333,8.566667
2015,16.38333,16.11667,27.575,24.51667,7.508333,8.4
2016,16.44167,16.50833,27.64167,24.85833,8.133333,9.3
2017,15.80833,15.85,26.55833,24.50833,7.975,8.725
2018,16.79167,16.825,27.775,25.25833,7.733333,8.766667
